POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,OBJECTID,UF,CEG,LONG,LAT,SETOR
1.79,130.0,80.0,100.0,1666625847000,31561,Verace 24,AGV24-02,287098.0,6274349.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,107,RS,EOLCVRS031561-3-01,-53.295807742999955,-33.649431291999974,Sul
2.1,124.0,80.0,88.0,1666625847000,30336,Embuaca,AEG13,463239.0,9642914.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Embuaca Geração e Comercialização de Energia S.A,109,CE,EOLCVCE030336-4-01,-39.33088230799996,-3.230580583999938,Nordeste
1.6,121.25,80.0,82.5,1666625847000,30319,Pajeú do Vento,PVE_14,755298.0,8450874.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Pajeú do Vento S.A.,110,BA,EOLCVBA030319-4-01,-42.636917093999955,-14.001530636999973,Nordeste
2.1,175.0,120.0,110.0,1666625847000,31866,Santo Inácio IV,SIIV-01,687716.0,9475009.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Santo Inácio IV S.A.,113,CE,EOLCVCE031866-3-01,-37.30751910699996,-4.7475727669999515,Nordeste
1.6,121.0,80.0,82.0,1666625847000,30311,Morro dos Ventos IV,AG_05_MV4,180537.75,9403685.02,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos IV S.A,115,RN,EOLCVRN030311-9-01,-35.88237964999996,-5.388058495999928,Nordeste
1.6,121.0,80.0,82.0,1666625847000,30300,Morro dos Ventos VI,AG_06_MV6,180528.15,9407534.98,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos VI S.A,118,RN,EOLCVRN030300-3-01,-35.88230265599998,-5.3532736519999276,Nordeste
2.0,123.0,78.0,90.0,1666625847000,30622,Arizona 1,11,235742.29683257,9413413.26275412,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Arizona 1 Energia Renovável S.A.,120,RN,EOLCVRN030622-3-01,-35.38427333699997,-5.302283508999949,Nordeste
2.1,143.7,96.2,95.0,1666625847000,28857,Taíba Águia,AEG-07,512336.73,9609285.25,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Geradora Eólica Taíba Águia S.A,186,CE,EOLCVCE028857-8-01,-38.889276405999965,-3.5352421849999587,Nordeste
3.0,178.0,120.0,116.0,1666625847000,30461,Atlântica IV,IV-10,563779.0,6645999.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Atlântica IV Parque Eólico S.A.,187,RS,EOLCVRS030461-1-01,-50.33661391199996,-30.316117902999963,Sul
2.0,138.5,90.0,97.0,1666625847000,31338,Damascena,Damascena 04,230165.0,8687536.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Damascena Eólica S.A.,188,BA,EOLCVBA031338-6-01,-41.47678813699997,-11.861734918999957,Nordeste
0.8,99.6,75.6,48.0,1666625847000,29087,Coelhos III,54,281186.0,9273330.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,191,PB,EOLCVPB029087-4-01,-34.97929562999997,-6.570616797999946,Nordeste
2.0,139.0,98.0,82.0,1666625847000,30292,Santa Clara I,SC-I-13,178713.48,9417883.88,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Clara I Energias Renováveis Ltda.,192,RN,EOLCVRN030292-9-01,-35.89822380299995,-5.25969529799994,Nordeste
1.6,130.0,80.0,100.0,1666625847000,30562,União dos Ventos 1,UV1-04,184753.004,9438343.743,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Energia Potiguar Geradora Eólica S.A.,194,RN,EOLCVRN030562-6-01,-35.84296420199996,-5.075083839999934,Nordeste
2.1,136.5,89.0,95.0,1666625847000,30340,Areia Branca,UG2,732621.0,9450852.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Bela Vista Geração e Comercialização de Energia S.A.,137,RN,EOLCVRN030340-2-01,-36.90213821999998,-4.964853974999926,Nordeste
2.3,149.0,108.0,82.0,1666625847000,30449,Osório 3,OS3-08,571739.09,6681775.47,Versão Válida,WGS84,Sim,UTM 22 S (MER -51),Ventos do Litoral Energia S.A.,138,RS,EOLCVRS030449-2-01,-50.25625043399998,-29.992838159999962,Sul
0.8,99.0,75.0,48.0,1666625847000,28424,RN 15 - Rio do Fogo,1.27,234773.0,9410672.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energias Renováveis do Brasil S.A.,139,RN,EOLCVRN028424-6-01,-35.39310938099993,-5.327026892999925,Nordeste
1.85,121.25,80.0,82.5,1666625847000,30752,Corrupião,COR-012,759892.0,8417870.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Corrupião S.A.,142,BA,EOLCVBA030752-1-01,-42.59086795999997,-14.298867263999966,Nordeste
2.3499999,144.0,98.0,92.0,1666625847000,31524,Casa Nova III,CNIII-06,266881.0,8968512.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Companhia Hidroelétrica do São Francisco,146,BA,EOLCVBA031524-9-01,-41.12238783699996,-9.325041194999926,Nordeste
1.7,130.0,80.0,100.0,1666625847000,31365,Ventos de Santa Brígida I,BR1-05,746373.0,9024716.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Ventos de Santa Brígida I Energias Renováveis S.A.,147,PE,EOLCVPE031365-3-01,-36.76015895699993,-8.81632454499993,Nordeste
